Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield,Cluster
"Cocoa, beans",2248.92,17.72,83.4,26.01,11560,1
"Cocoa, beans",1938.42,17.54,82.11,26.11,11253,1
"Cocoa, beans",2301.54,17.81,82.79,26.24,9456,1
"Cocoa, beans",2592.35,17.61,85.07,25.56,9321,1
"Cocoa, beans",2344.72,17.61,84.12,25.76,8800,1
"Cocoa, beans",2339.3,17.7,84.54,25.76,8850,1
"Cocoa, beans",2326.09,18.09,84.63,26.11,9003,1
"Cocoa, beans",2718.08,18.3,85.43,26.12,9880,0
"Cocoa, beans",2061.61,17.8,84.36,25.88,9201,1
"Cocoa, beans",1934.62,17.94,83.43,26.21,8300,1
"Cocoa, beans",2217.12,18.03,84.39,26.1,5765,1
"Cocoa, beans",2249.7,18.01,84.24,26.11,5812,1
"Cocoa, beans",2530.96,18.15,85.33,26.02,6667,0
"Cocoa, beans",2504.7,18.19,85.45,26.02,6530,0
"Cocoa, beans",2686.2,18.38,85.77,26.13,6912,0
"Cocoa, beans",2414.79,18.18,85.76,25.93,7138,0
"Cocoa, beans",1999.53,18.2,84.36,26.27,7525,2
"Cocoa, beans",2362.8,18.7,84.03,26.79,7663,2
"Cocoa, beans",2792.95,18.24,86.04,25.95,8300,0
"Cocoa, beans",2751.24,18.31,85.98,26.02,9274,0
"Cocoa, beans",2646.28,18.4,86.02,26.1,9956,0
"Cocoa, beans",2302.99,18.22,84.48,26.25,9801,2
"Cocoa, beans",2692.34,18.37,85.54,26.18,7965,0
"Cocoa, beans",2424.55,18.28,85.16,26.18,7919,0
"Cocoa, beans",2363.63,18.35,84.92,26.28,8226,2
"Cocoa, beans",2892.78,18.49,86.09,26.18,10062,0
"Cocoa, beans",2729.53,18.41,86.03,26.11,12362,0
"Cocoa, beans",3085.79,18.34,86.1,26.03,13056,0
"Cocoa, beans",2922.18,18.43,85.51,26.23,10058,0
"Cocoa, beans",2546.33,18.43,84.23,26.49,7795,2
"Cocoa, beans",2938.29,18.22,85.42,26.06,10737,0
"Cocoa, beans",2771.73,18.38,84.98,26.3,7979,0
"Cocoa, beans",2607.96,18.37,84.67,26.35,7066,2
"Cocoa, beans",2604.59,18.19,83.44,26.43,7991,2
"Cocoa, beans",2308.51,18.27,83.65,26.47,11108,2
"Cocoa, beans",2410.13,18.58,83.45,26.81,11487,2
"Cocoa, beans",2967.41,18.67,85.48,26.46,7314,0
"Cocoa, beans",2333.46,18.5,84.85,26.43,9502,2
"Cocoa, beans",2109.34,18.51,83.52,26.72,8848,2
Oil palm fruit,2248.92,17.72,83.4,26.01,169783,1
Oil palm fruit,1938.42,17.54,82.11,26.11,201436,1
Oil palm fruit,2301.54,17.81,82.79,26.24,152343,1
Oil palm fruit,2592.35,17.61,85.07,25.56,181826,1
Oil palm fruit,2344.72,17.61,84.12,25.76,178183,1
Oil palm fruit,2339.3,17.7,84.54,25.76,169781,1
Oil palm fruit,2326.09,18.09,84.63,26.11,166042,1
Oil palm fruit,2718.08,18.3,85.43,26.12,165262,0
Oil palm fruit,2061.61,17.8,84.36,25.88,183004,1
Oil palm fruit,1934.62,17.94,83.43,26.21,177543,1
Oil palm fruit,2217.12,18.03,84.39,26.1,150428,1
Oil palm fruit,2249.7,18.01,84.24,26.11,151070,1
Oil palm fruit,2530.96,18.15,85.33,26.02,172165,0
Oil palm fruit,2504.7,18.19,85.45,26.02,160862,0
Oil palm fruit,2686.2,18.38,85.77,26.13,166136,0
Oil palm fruit,2414.79,18.18,85.76,25.93,163541,0
Oil palm fruit,1999.53,18.2,84.36,26.27,164772,2
Oil palm fruit,2362.8,18.7,84.03,26.79,142425,2
Oil palm fruit,2792.95,18.24,86.04,25.95,165993,0
Oil palm fruit,2751.24,18.31,85.98,26.02,167621,0
Oil palm fruit,2646.28,18.4,86.02,26.1,168476,0
Oil palm fruit,2302.99,18.22,84.48,26.25,162240,2
Oil palm fruit,2692.34,18.37,85.54,26.18,175629,0
Oil palm fruit,2424.55,18.28,85.16,26.18,180323,0
Oil palm fruit,2363.63,18.35,84.92,26.28,184629,2
Oil palm fruit,2892.78,18.49,86.09,26.18,190626,0
Oil palm fruit,2729.53,18.41,86.03,26.11,183544,0
Oil palm fruit,3085.79,18.34,86.1,26.03,195523,0
Oil palm fruit,2922.18,18.43,85.51,26.23,182696,0
Oil palm fruit,2546.33,18.43,84.23,26.49,171189,2
Oil palm fruit,2938.29,18.22,85.42,26.06,185831,0
Oil palm fruit,2771.73,18.38,84.98,26.3,186959,0
Oil palm fruit,2607.96,18.37,84.67,26.35,181496,2
Oil palm fruit,2604.59,18.19,83.44,26.43,203399,2
Oil palm fruit,2308.51,18.27,83.65,26.47,202379,2
Oil palm fruit,2410.13,18.58,83.45,26.81,172601,2
Oil palm fruit,2967.41,18.67,85.48,26.46,199074,0
Oil palm fruit,2333.46,18.5,84.85,26.43,189657,2
Oil palm fruit,2109.34,18.51,83.52,26.72,189896,2
"Rice, paddy",2248.92,17.72,83.4,26.01,28409,1
"Rice, paddy",1938.42,17.54,82.11,26.11,27619,1
"Rice, paddy",2301.54,17.81,82.79,26.24,26041,1
"Rice, paddy",2592.35,17.61,85.07,25.56,25187,1
"Rice, paddy",2344.72,17.61,84.12,25.76,26648,1
